model,precision,recall,f1_macro,cv_macroF1_mean,cv_macroF1_std,f1_cooler,f1_neutral,f1_warmer
XGB,0.7394,0.7409,0.7399,0.7355,0.0068,0.7805,0.674,0.7651
KNN,0.7359,0.7444,0.7383,0.7353,0.0088,0.7927,0.6711,0.751
RF,0.7313,0.7375,0.7331,0.7333,0.0101,0.78,0.6575,0.7619
DNN,0.7329,0.7375,0.7349,0.7307,0.0044,0.7635,0.6683,0.7731
GBDT,0.7332,0.7348,0.7336,0.7302,0.0094,0.7784,0.6672,0.7551
GBM,0.7286,0.7351,0.7308,0.7146,0.0107,0.7758,0.6553,0.7613
BL,0.7025,0.7115,0.7044,0.7036,0.0036,0.7622,0.6159,0.7352
DT,0.7052,0.7059,0.7046,0.695,0.0102,0.7512,0.6372,0.7253
SVM,0.6865,0.7052,0.6898,0.6899,0.0087,0.7709,0.5737,0.7249
LR,0.6215,0.6275,0.624,0.6152,0.0195,0.6673,0.5171,0.6874
NB,0.5972,0.6383,0.5963,0.5884,0.0166,0.7138,0.381,0.6942
